pair_id,SMILES_Solute,SMILES_Solvent,Solute_name,Solvent_name,Total_conformers,Filtered_conformers,Temperature_K,LogS,Compound_Name,Solvent
1.0,CCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,mol_1_solute_opt,mol_1_solvent_opt,50,21,311.25,-1.9964190908298327,Ethylene glycol monoeicosate,ethanol
2.0,CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,mol_2_solute_opt,mol_2_solvent_opt,50,19,296.35,-2.767539969453911,Ethylene glycol monobehenate,ethanol
3.0,O=[N+]([O-])c1cccc2ccccc12,CCO,mol_3_solute_opt,mol_3_solvent_opt,50,40,298.15,-0.3131383158575335,1-nitronaphthalene,ethanol
4.0,CC(=O)Nc1ccc(O)cc1,CCO,mol_4_solute_opt,mol_4_solvent_opt,50,37,293.15,-0.0406858149763315,Paracetamol,ethanol
5.0,O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,CCO,mol_5_solute_opt,mol_5_solvent_opt,50,37,293.15,-0.629968598353204,"1,3,3-trinitroazetidine",ethanol
6.0,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,CCO,mol_6_solute_opt,mol_6_solvent_opt,50,35,298.15,-3.654352301733323,Lornoxicam,ethanol
7.0,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,CCO,mol_7_solute_opt,mol_7_solvent_opt,50,30,288.2,-1.342421263291304,Isoimperatorin,ethanol
8.0,O=C(O)CCC(=O)O,CCO,mol_8_solute_opt,mol_8_solvent_opt,50,39,278.15,-0.1942356479999381,Succinic acid,ethanol
9.0,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,CCO,mol_9_solute_opt,mol_9_solvent_opt,50,35,288.15,-3.273999431693328,(+)-usnic acid,ethanol
10.0,CC(=O)NCC(=O)O,CCO,mol_10_solute_opt,mol_10_solvent_opt,50,37,278.15,-1.4105942552888466,N-acetylglycine,ethanol
11.0,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,CCO,mol_11_solute_opt,mol_11_solvent_opt,50,24,288.2,-3.421237459843318,Icariin,ethanol
12.0,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,CCO,mol_12_solute_opt,mol_12_solvent_opt,50,26,280.35,-0.5952713100175127,Omeprazole sulfide,ethanol
13.0,O=C(O)[C@H](O)[C@@H](O)C(=O)O,CCO,mol_13_solute_opt,mol_13_solvent_opt,50,34,281.15,-0.2399455162490144,L-tartaric acid,ethanol
14.0,Clc1ccc(OCCCBr)cc1,CCO,mol_14_solute_opt,mol_14_solvent_opt,50,38,273.15,-0.4073457556697553,1-(3-bromopropoxy)-4-chlorobenzene,ethanol
15.0,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,CCO,mol_15_solute_opt,mol_15_solvent_opt,50,17,270.15,-3.755121115597051,Coenzyme Q10,ethanol
17.0,CC1(C)COP(=O)(Oc2cc(OP3(=O)OCC(C)(C)CO3)cc(OP3(=O)OCC(C)(C)CO3)c2)OC1,CCO,mol_17_solute_opt,mol_17_solvent_opt,50,16,288.15,-2.870064636954032,"Phloroglucinol tris(cyclic 2,2-dimethyl-1,3-propanediol phosphate)",ethanol
18.0,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,CCO,mol_18_solute_opt,mol_18_solvent_opt,50,21,277.85,-3.273015113077,Telmisartan,ethanol
19.0,Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1,CCO,mol_19_solute_opt,mol_19_solvent_opt,50,26,278.2,-2.1103619791156607,Cefpiramide,ethanol
