pair_id,SMILES_Solute,SMILES_Solvent,Solute_name,Solvent_name,Total_conformers,Filtered_conformers
1.0,CCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,mol_1_solute_opt,mol_1_solvent_opt,50,21
2.0,CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,mol_2_solute_opt,mol_2_solvent_opt,50,19
3.0,O=[N+]([O-])c1cccc2ccccc12,CCO,mol_3_solute_opt,mol_3_solvent_opt,50,40
4.0,CC(=O)Nc1ccc(O)cc1,CCO,mol_4_solute_opt,mol_4_solvent_opt,50,37
5.0,O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,CCO,mol_5_solute_opt,mol_5_solvent_opt,50,37
6.0,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,CCO,mol_6_solute_opt,mol_6_solvent_opt,50,35
7.0,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,CCO,mol_7_solute_opt,mol_7_solvent_opt,50,30
8.0,O=C(O)CCC(=O)O,CCO,mol_8_solute_opt,mol_8_solvent_opt,50,39
9.0,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,CCO,mol_9_solute_opt,mol_9_solvent_opt,50,35
10.0,CC(=O)NCC(=O)O,CCO,mol_10_solute_opt,mol_10_solvent_opt,50,37
11.0,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,CCO,mol_11_solute_opt,mol_11_solvent_opt,50,24
12.0,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,CCO,mol_12_solute_opt,mol_12_solvent_opt,50,26
13.0,O=C(O)[C@H](O)[C@@H](O)C(=O)O,CCO,mol_13_solute_opt,mol_13_solvent_opt,50,34
14.0,Clc1ccc(OCCCBr)cc1,CCO,mol_14_solute_opt,mol_14_solvent_opt,50,38
15.0,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,CCO,mol_15_solute_opt,mol_15_solvent_opt,50,17
17.0,CC1(C)COP(=O)(Oc2cc(OP3(=O)OCC(C)(C)CO3)cc(OP3(=O)OCC(C)(C)CO3)c2)OC1,CCO,mol_17_solute_opt,mol_17_solvent_opt,50,16
18.0,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,CCO,mol_18_solute_opt,mol_18_solvent_opt,50,21
19.0,Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1,CCO,mol_19_solute_opt,mol_19_solvent_opt,50,26
20.0,CC(=O)CCc1ccc(O)cc1,CCO,mol_20_solute_opt,mol_20_solvent_opt,50,38
